student_id,student_name,dob,email_id,phone,twelveth_diploma_group,mark_percentage,board,school_name,caste,religion,nationality,address,city,father_name
TN2026STU0001,Adithya N,4/3/2006,adithya.n27@example.com,923756669,Diploma in Computer Engineering,58.87,State Board,"Adarsh Vidyalaya Higher Secondary School, Madurai",OBC,Hindu,Indian,"No. 7, Main Road, Madurai, Tamil Nadu",Madurai,Arumugam N
TN2026STU0002,Meena Pandian,5/10/2007,meena.pandian38@example.com,970291817,Diploma in Civil Engineering,67.38,State Board,"Government Higher Secondary School, Tirunelveli",BC,Hindu,Indian,"No. 40, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Dharmalingam Pandian
TN2026STU0003,Pooja J,7/9/2005,pooja.j58@example.com,922981052,Arts,92.71,State Board,"Bharathi Vidya Bhavan, Coimbatore",BC,Hindu,Indian,"No. 97, Main Road, Coimbatore, Tamil Nadu",Coimbatore,Krishnan J
TN2026STU0004,Bhavani T,1/11/2007,bhavani.t83@example.com,935808537,Computer Science,57.04,State Board,"DAV Boy's Senior Secondary School, Madurai",MBC,Christian,Indian,"No. 98, Main Road, Madurai, Tamil Nadu",Madurai,Jayaraman T
TN2026STU0005,Suresh Pandian,11/30/2005,suresh.pandian57@example.com,957683626,Commerce with Computer Science,84.82,State Board,"St. Joseph's Higher Secondary School, Tirunelveli",BC,Hindu,Indian,"No. 119, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Chidambaram Pandian
TN2026STU0006,Mani Pandian,3/26/2006,mani.pandian97@example.com,953524491,Bio-Maths,65.19,CBSE,"Government Higher Secondary School, Dindigul",OBC,Hindu,Indian,"No. 146, Main Road, Dindigul, Tamil Nadu",Dindigul,Dharmalingam Pandian
TN2026STU0007,Jayan Pandian,3/22/2007,jayan.pandian92@example.com,971586053,Pure Science,66.79,State Board,"DAV Boy's Senior Secondary School, Karur",OBC,Hindu,Indian,"No. 150, Main Road, Karur, Tamil Nadu",Karur,Baskar Pandian
TN2026STU0008,Ramesh V,11/10/2007,ramesh.v73@example.com,922201654,Bio-Maths,93.32,State Board,"Kendriya Vidyalaya, Virudhunagar",BC,Hindu,Indian,"No. 120, Main Road, Virudhunagar, Tamil Nadu",Virudhunagar,Srinivasan V
TN2026STU0009,Bhavani M,10/28/2008,bhavani.m78@example.com,945812670,Arts,59.96,State Board,"Adarsh Vidyalaya Higher Secondary School, Chennai",SC,Christian,Indian,"No. 68, Main Road, Chennai, Tamil Nadu",Chennai,Krishnan M
TN2026STU0010,Abirami S,8/1/2008,abirami.s74@example.com,991734598,Commerce with Computer Science,61.8,State Board,"Kendriya Vidyalaya, Thiruvarur",SC,Hindu,Indian,"No. 126, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Velu S
